#31,18:45,Serie A,Italy,Como,Genoa,Home Win or Draw,1.76,7.4%,14.0%,64.8%,0.396
#32,18:45,Ligue 2,France,Guingamp,Montpellier,Home Team Under 1.5 Goals,1.58,5.1%,7.4%,67.9%,0.394
#33,19:00,La Liga,Spain,Espanyol,Mallorca,Away Team Under 1.5 Goals,1.60,5.1%,7.6%,67.2%,0.392
#34,18:00,Eerste Divisie,Netherlands,Dordrecht,Jong AZ,Away Team Under 1.5 Goals,1.59,4.8%,7.1%,67.2%,0.390
#35,17:00,Allsvenskan,Sweden,AIK Stockholm,IF Brommapojkarna,Over 9.5 Total Corners,1.83,6.2%,13.0%,61.6%,0.385
#36,15:00,Liga I,Romania,AFC Hermannstadt,Unirea Slobozia,Home Win or Draw,1.91,6.4%,14.6%,60.0%,0.384
#37,15:00,Liga I,Romania,AFC Hermannstadt,Unirea Slobozia,Away Team Under 1.5 Goals,1.76,5.1%,9.7%,62.4%,0.379
#38,19:00,La Liga,Spain,Espanyol,Mallorca,Under 2.5 Goals,1.74,4.0%,7.4%,61.6%,0.368
#39,18:45,Serie A,Italy,Como,Genoa,Over 2.5 Goals,1.89,4.7%,10.5%,58.4%,0.360
#40,18:45,Serie A,Italy,Como,Genoa,Home Team Under 1.5 Goals,1.76,2.9%,5.6%,60.1%,0.352

Summary Metric,Value
Total Portfolio Edge,1139.5%
Average Confidence,69.2%
Total Bankroll Risk,289.6%

Market Category,Number of Bets
Match Result,1 bet
Goals,18 bets
Both Teams to Score,2 bets
Corners,13 bets
Double Chance,5 bets
Special,1 bet
