#34,13:00,Premier League,England,Burnley,Liverpool,Draw or Away Win,2.10,8.0%,55.9%,74.3%,0.565
#35,13:00,Veikkausliiga,Finland,FF Jaro,AC Oulu,Both Teams to Score - No,2.47,8.0%,65.2%,66.9%,0.563
#36,11:30,2. Bundesliga,Germany,SV Elversberg,Dynamo Dresden,Both Teams to Score - No,2.60,8.0%,67.9%,64.6%,0.562
#37,17:15,Eliteserien,Norway,Haugesund,Rosenborg,Over 9.5 Total Corners,2.20,8.0%,57.6%,71.7%,0.560
#38,16:30,Segunda División,Spain,Sporting Gijon,Burgos,Both Teams to Score - No,2.55,8.0%,65.7%,65.0%,0.557
#39,17:30,3. Liga,Germany,TSV 1860 München,Havelse,Both Teams to Score - No,2.39,8.0%,62.0%,67.8%,0.557
#40,18:00,Canadian Premier League,Canada,York United,Atlético Ottawa,Over 9.5 Total Corners,2.04,8.0%,52.3%,74.8%,0.556
#41,13:00,Veikkausliiga,Finland,FF Jaro,AC Oulu,Over 9.5 Total Corners,2.00,8.0%,50.7%,75.4%,0.554
#42,15:30,Ekstraklasa,Poland,Widzew Łódź,Arka Gdynia,Home Team Over 1.5 Goals,2.40,8.0%,61.3%,67.3%,0.553
#43,18:00,Canadian Premier League,Canada,York United,Atlético Ottawa,Both Teams to Score - No,2.84,8.0%,70.3%,60.0%,0.551
#44,18:00,Liga I,Romania,Csikszereda,FCSB,Draw or Away Win,2.34,8.0%,58.9%,67.9%,0.548
#45,13:30,Bundesliga,Germany,FC St. Pauli,FC Augsburg,Both Teams to Score - No,2.41,8.0%,60.4%,66.6%,0.548
#46,14:30,3. Liga,Germany,Waldhof Mannheim,Energie Cottbus,Over 9.5 Total Corners,2.80,8.0%,67.1%,59.7%,0.540
#47,15:00,Eliteserien,Norway,Sarpsborg 08 FF,Sandefjord,Both Teams to Score - No,2.83,8.0%,67.2%,59.1%,0.538
#48,12:00,Super League,Switzerland,FC Winterthur,FC Sion,Over 9.5 Total Corners,1.82,8.0%,40.7%,77.3%,0.531
#49,12:00,Allsvenskan,Sweden,Djurgardens IF,Hammarby FF,Both Teams to Score - No,2.68,8.0%,61.8%,60.4%,0.527
#50,16:30,Segunda División,Spain,Sporting Gijon,Burgos,Over 9.5 Total Corners,1.87,8.0%,40.9%,75.4%,0.524
#51,17:15,Eliteserien,Norway,Haugesund,Rosenborg,Draw or Away Win,1.49,8.0%,26.9%,85.2%,0.521
#52,23:00,Liga MX,Mexico,Club Queretaro,Monterrey,Both Teams to Score - No,2.47,8.0%,56.0%,63.2%,0.521
#53,11:30,2. Bundesliga,Germany,SpVgg Greuther Fürth,1. FC Kaiserslautern,Both Teams to Score - No,2.68,8.0%,60.3%,59.8%,0.520
#54,17:30,Serie B,Italy,Empoli,Spezia,Over 1.5 Goals,2.36,8.0%,51.9%,64.2%,0.513
#55,16:00,Serie A,Italy,Sassuolo,Lazio,Over 9.5 Total Corners,1.87,8.0%,39.5%,74.8%,0.513
#56,13:30,Bundesliga,Germany,FC St. Pauli,FC Augsburg,Over 1.5 Goals,2.36,8.0%,51.8%,64.2%,0.512
#57,18:45,Ligue 1,France,Rennes,Lyon,Over 9.5 Total Corners,1.84,8.0%,37.6%,74.8%,0.512
#58,12:45,Liga I,Romania,Oţelul,FC Botosani,Both Teams to Score - No,2.69,8.0%,57.9%,58.7%,0.509
#59,12:00,Super League,Switzerland,FC Winterthur,FC Sion,Draw or Away Win,2.14,8.0%,45.3%,67.9%,0.508
#60,11:00,Taça de Portugal,Portugal,Fayal,CD Olivais e Moscavide,Over 9.5 Total Corners,1.98,8.0%,40.8%,71.1%,0.507
#61,15:00,Eliteserien,Norway,KFUM Oslo,Viking,Both Teams to Score - No,1.91,8.0%,38.2%,72.4%,0.504
#62,16:00,Süper Lig,Turkey,Gazişehir Gaziantep,Kocaelispor,Both Teams to Score - No,2.37,8.0%,50.0%,63.3%,0.503
#63,14:45,Eredivisie,Netherlands,Telstar,Fortuna Sittard,Over 1.5 Goals,2.31,8.0%,48.6%,64.2%,0.503
#64,16:00,Serie A,Italy,Sassuolo,Lazio,Draw or Away Win,2.17,8.0%,46.1%,67.3%,0.502
#65,15:30,Ekstraklasa,Poland,Widzew Łódź,Arka Gdynia,Both Teams to Score - No,2.54,8.0%,53.2%,60.3%,0.501
#66,13:00,Serie B,Italy,Virtus Entella,Mantova,Over 1.5 Goals,2.35,8.0%,48.8%,63.2%,0.499
#67,19:00,Segunda División,Spain,Granada CF,Leganes,Both Teams to Score - No,2.59,8.0%,53.5%,59.3%,0.497
#68,15:00,Eliteserien,Norway,Sarpsborg 08 FF,Sandefjord,Over 9.5 Total Corners,1.99,8.0%,38.9%,69.7%,0.495
#69,12:00,La Liga,Spain,Celta Vigo,Girona,Away Team Under 1.5 Goals,1.54,8.0%,23.7%,80.6%,0.493
#70,18:00,Liga I,Romania,Csikszereda,FCSB,Over 1.5 Goals,1.97,8.0%,37.6%,69.9%,0.492
#71,12:00,La Liga,Spain,Celta Vigo,Girona,Over 1.5 Goals,2.28,8.0%,44.6%,63.5%,0.488
#72,12:00,Segunda División,Spain,FC Andorra,Cordoba,Under 11.5 Total Corners,1.50,8.0%,21.2%,80.9%,0.487
#73,10:15,Eredivisie,Netherlands,Excelsior,Sparta Rotterdam,Over 9.5 Total Corners,2.17,8.0%,41.6%,65.1%,0.485
#74,11:00,Championship,England,Southampton,Portsmouth,Home Win or Draw,2.03,8.0%,37.5%,67.7%,0.483
#75,14:30,Super League,Switzerland,Grasshoppers,Lausanne,Over 1.5 Goals,2.12,8.0%,39.6%,65.8%,0.482
#76,16:30,La Liga,Spain,Osasuna,Rayo Vallecano,Draw or Away Win,2.23,8.0%,42.2%,63.8%,0.482
#77,15:00,Eliteserien,Norway,Sarpsborg 08 FF,Sandefjord,Home Team Under 1.5 Goals,1.72,8.0%,28.0%,74.3%,0.481
#78,19:30,Primeira Liga,Portugal,SC Braga,GIL Vicente,Both Teams to Score - No,2.25,8.0%,42.5%,63.3%,0.481
#79,14:30,Super League,Switzerland,Grasshoppers,Lausanne,Over 9.5 Total Corners,1.97,8.0%,35.0%,68.4%,0.478
#80,14:00,Süper Lig,Turkey,Kayserispor,Goztepe,Over 1.5 Goals,2.18,8.0%,40.0%,64.2%,0.477
#81,12:00,Allsvenskan,Sweden,Djurgardens IF,Hammarby FF,Over 1.5 Goals,2.27,8.0%,42.0%,62.7%,0.477
#82,15:15,Ligue 1,France,Paris Saint Germain,Lens,Away Team Under 1.5 Goals,1.63,8.0%,24.0%,75.9%,0.476
#83,11:00,Taça de Portugal,Portugal,Fayal,CD Olivais e Moscavide,Over 1.5 Goals,2.17,8.0%,39.3%,64.2%,0.475
#84,10:15,Ekstraklasa,Poland,Motor Lublin,Nieciecza,Home Team Under 1.5 Goals,1.70,8.0%,26.1%,74.0%,0.474
#85,15:30,Bundesliga,Germany,Borussia Mönchengladbach,Werder Bremen,Under 11.5 Total Corners,1.45,8.0%,16.9%,80.9%,0.474
#86,17:00,Primeira Liga,Portugal,Arouca,Casa Pia,Away Team Under 1.5 Goals,1.78,8.0%,28.2%,72.2%,0.474
#87,12:00,Super League,Switzerland,FC Winterthur,FC Sion,Both Teams to Score - No,2.21,8.0%,39.9%,63.3%,0.473
#88,14:30,Super League,Switzerland,FC Luzern,BSC Young Boys,Over 1.5 Goals,1.96,8.0%,33.3%,68.0%,0.472
#89,16:00,Süper Lig,Turkey,Gazişehir Gaziantep,Kocaelispor,Home Win or Away Win (No Draw),1.35,8.0%,12.7%,83.5%,0.472
#90,11:00,Championship,England,Southampton,Portsmouth,Over 1.5 Goals,2.16,8.0%,38.2%,64.1%,0.471
#91,11:00,Championship,England,Southampton,Portsmouth,Both Teams to Score - No,2.18,8.0%,38.6%,63.6%,0.470
#92,15:00,Eliteserien,Norway,Ham-Kam,Stromsgodset,Over 9.5 Total Corners,1.87,8.0%,30.3%,69.7%,0.470
#93,19:00,La Liga,Spain,Barcelona,Valencia,Away Team Under 1.5 Goals,1.61,8.0%,22.1%,75.9%,0.470
#94,10:30,Serie A,Italy,AS Roma,Torino,Home Team Over 1.5 Goals,2.16,8.0%,38.8%,64.4%,0.469
#95,11:30,3. Liga,Germany,VfL Osnabrück,Hansa Rostock,Under 11.5 Total Corners,1.42,8.0%,14.6%,80.9%,0.467
#96,12:30,Eredivisie,Netherlands,Utrecht,Groningen,Both Teams to Score - No,2.39,8.0%,42.8%,59.7%,0.467
#97,15:00,Liga I,Romania,Universitatea Craiova,Farul Constanta,Over 9.5 Total Corners,1.70,8.0%,24.4%,73.0%,0.465
#98,17:30,3. Liga,Germany,TSV 1860 München,Havelse,Away Team Under 1.5 Goals,1.60,8.0%,20.9%,75.4%,0.465
#99,16:00,Süper Lig,Turkey,Fenerbahce,Trabzonspor,Under 11.5 Total Corners,1.40,8.0%,13.0%,80.9%,0.463
#100,15:00,Liga I,Romania,Universitatea Craiova,Farul Constanta,Home Win or Away Win (No Draw),1.39,8.0%,12.7%,81.1%,0.462
#101,16:00,Serie A,Italy,Sassuolo,Lazio,Home Win or Away Win (No Draw),1.31,8.0%,10.2%,84.1%,0.462
#102,16:00,Süper Lig,Turkey,Fenerbahce,Trabzonspor,Both Teams to Score - No,2.42,8.0%,42.1%,58.7%,0.461
#103,15:15,Ligue 1,France,Metz,Angers,Over 9.5 Total Corners,1.73,8.0%,24.4%,71.8%,0.460
#104,14:30,Allsvenskan,Sweden,Sirius,Gais,Under 11.5 Total Corners,1.43,8.0%,13.8%,79.7%,0.460
#105,15:15,Ligue 1,France,Paris Saint Germain,Lens,Under 11.5 Total Corners,1.46,8.0%,15.0%,78.7%,0.460
#106,12:30,Eliteserien,Norway,Bryne,Tromso,Both Teams to Score - No,1.91,8.0%,29.5%,67.8%,0.460
#107,13:00,Veikkausliiga,Finland,FF Jaro,AC Oulu,Draw or Away Win,2.12,8.0%,34.8%,63.6%,0.459
#108,14:30,Allsvenskan,Sweden,IF Elfsborg,Malmo FF,Under 11.5 Total Corners,1.43,8.0%,12.8%,79.1%,0.455
#109,14:15,La Liga,Spain,Levante,Real Betis,Under 11.5 Total Corners,1.36,8.0%,10.3%,80.9%,0.455
#110,14:15,La Liga,Spain,Levante,Real Betis,Home Win or Away Win (No Draw),1.26,8.0%,6.0%,84.1%,0.454
#111,23:00,Liga MX,Mexico,Club Queretaro,Monterrey,Home Win or Away Win (No Draw),1.26,8.0%,6.0%,84.1%,0.454
#112,19:00,Segunda División,Spain,Granada CF,Leganes,Home Win or Away Win (No Draw),1.37,8.0%,10.5%,80.7%,0.454
#113,14:45,Eredivisie,Netherlands,Telstar,Fortuna Sittard,Over 9.5 Total Corners,1.79,8.0%,25.0%,69.7%,0.454
#114,14:30,Super League,Switzerland,FC Luzern,BSC Young Boys,Over 9.5 Total Corners,1.78,8.0%,24.4%,69.7%,0.452
#115,15:30,Bundesliga,Germany,Borussia Mönchengladbach,Werder Bremen,Home Team Under 1.5 Goals,1.73,8.0%,22.5%,70.9%,0.451
#116,17:00,Primeira Liga,Portugal,Arouca,Casa Pia,Home Win or Draw,2.00,8.0%,30.2%,65.1%,0.451
#117,16:30,Segunda División,Spain,Castellón,AD Ceuta FC,Under 11.5 Total Corners,1.34,8.0%,8.6%,80.9%,0.449
#118,18:45,Serie A,Italy,AC Milan,Bologna,Home Win or Away Win (No Draw),1.30,8.0%,7.6%,82.8%,0.449
#119,19:00,La Liga,Spain,Barcelona,Valencia,Both Teams to Score - No,2.24,8.0%,35.6%,60.5%,0.449
#120,15:30,Premier League,England,Manchester City,Manchester United,Over 9.5 Total Corners,2.15,8.0%,33.4%,62.1%,0.448
#121,11:30,2. Bundesliga,Germany,SV Elversberg,Dynamo Dresden,Over 9.5 Total Corners,1.80,8.0%,24.1%,69.0%,0.448
#122,18:45,Serie A,Italy,AC Milan,Bologna,Over 9.5 Total Corners,1.94,8.0%,28.9%,66.6%,0.448
#123,14:30,Super League,Switzerland,FC Luzern,BSC Young Boys,Over 11.5 Total Corners,2.19,8.0%,34.2%,61.3%,0.448
#124,14:15,La Liga,Spain,Levante,Real Betis,Over 1.5 Goals,1.30,8.0%,6.4%,81.9%,0.447
#125,13:00,Serie B,Italy,Virtus Entella,Mantova,Over 9.5 Total Corners,1.95,8.0%,27.9%,65.5%,0.446
#126,15:15,Ligue 1,France,Stade Brestois 29,Paris FC,Home Team Under 1.5 Goals,1.75,8.0%,22.0%,69.7%,0.445
#127,11:30,2. Bundesliga,Germany,SpVgg Greuther Fürth,1. FC Kaiserslautern,Over 1.5 Goals,2.06,8.0%,30.6%,63.2%,0.445
#128,14:45,Eredivisie,Netherlands,Telstar,Fortuna Sittard,Home Team Under 1.5 Goals,1.73,8.0%,21.3%,70.1%,0.444
#129,12:00,Super League,Switzerland,FC Winterthur,FC Sion,Over 1.5 Goals,2.01,8.0%,28.8%,64.1%,0.443
#130,12:00,Allsvenskan,Sweden,Djurgardens IF,Hammarby FF,Draw or Away Win,2.21,8.0%,33.1%,60.2%,0.440
#131,14:30,Primeira Liga,Portugal,Estrela,Guimaraes,Over 11.5 Total Corners,2.14,8.0%,31.4%,61.3%,0.439
#132,14:00,Süper Lig,Turkey,Kayserispor,Goztepe,Home Win or Away Win (No Draw),1.32,7.1%,5.7%,80.0%,0.437
#133,17:00,Primeira Liga,Portugal,Arouca,Casa Pia,Over 1.5 Goals,1.99,8.0%,26.6%,63.6%,0.434
#134,14:30,Super League,Switzerland,FC Luzern,BSC Young Boys,Both Teams to Score - No,2.01,8.0%,27.0%,63.2%,0.433
#135,14:30,3. Liga,Germany,Waldhof Mannheim,Energie Cottbus,Draw or Away Win,1.99,8.0%,26.4%,63.5%,0.433
#136,16:30,Segunda División,Spain,Castellón,AD Ceuta FC,Home Team Over 1.5 Goals,1.61,8.0%,15.4%,71.7%,0.433
#137,12:30,Eliteserien,Norway,Bryne,Tromso,Over 1.5 Goals,1.95,8.0%,25.3%,64.2%,0.433
#138,13:00,Serie B,Italy,Virtus Entella,Mantova,Home Team Under 1.5 Goals,1.50,8.0%,11.5%,74.5%,0.433
#139,15:15,Ligue 1,France,Paris Saint Germain,Lens,Home Team Over 1.5 Goals,2.01,8.0%,26.4%,63.0%,0.431
#140,18:00,Canadian Premier League,Canada,York United,Atlético Ottawa,Over 1.5 Goals,1.98,8.0%,25.4%,63.2%,0.429
#141,17:15,Eliteserien,Norway,Haugesund,Rosenborg,Over 1.5 Goals,2.17,8.0%,29.6%,59.9%,0.428
#142,19:30,Primeira Liga,Portugal,SC Braga,GIL Vicente,Away Team Under 1.5 Goals,1.78,8.0%,19.6%,67.1%,0.427
#143,15:15,Ligue 1,France,Stade Brestois 29,Paris FC,Over 1.5 Goals,2.03,8.0%,26.2%,62.1%,0.427
#144,19:00,La Liga,Spain,Barcelona,Valencia,Under 11.5 Total Corners,1.41,7.0%,7.1%,76.1%,0.426
#145,16:30,Segunda División,Spain,Sporting Gijon,Burgos,Draw or Away Win,2.20,8.0%,29.7%,58.9%,0.425
#146,13:00,Serie A,Italy,Atalanta,Lecce,Home Team Over 1.5 Goals,1.94,8.0%,24.4%,64.0%,0.424
#147,15:15,Ligue 1,France,Stade Brestois 29,Paris FC,Away Team Under 1.5 Goals,1.79,8.0%,19.1%,66.6%,0.424
#148,10:30,Serie A,Italy,AS Roma,Torino,Under 11.5 Total Corners,1.48,8.0%,9.9%,74.2%,0.422
#149,13:00,Serie A,Italy,Atalanta,Lecce,Away Team Under 1.5 Goals,1.43,7.2%,7.6%,75.4%,0.420
#150,15:15,Ligue 1,France,Stade Brestois 29,Paris FC,Over 9.5 Total Corners,1.84,8.0%,19.5%,65.1%,0.419
#151,14:30,Allsvenskan,Sweden,IF Elfsborg,Malmo FF,Both Teams to Score - No,2.13,8.0%,26.7%,59.5%,0.418
#152,11:30,2. Bundesliga,Germany,SV Elversberg,Dynamo Dresden,Home Team Under 1.5 Goals,1.75,8.0%,16.9%,66.8%,0.418
#153,16:00,Süper Lig,Turkey,Fenerbahce,Trabzonspor,Over 1.5 Goals,2.16,8.0%,27.3%,59.0%,0.418
#154,15:30,Premier League,England,Manchester City,Manchester United,Away Team Under 1.5 Goals,1.76,8.0%,17.0%,66.3%,0.416
#155,15:30,Ekstraklasa,Poland,Widzew Łódź,Arka Gdynia,Home Win or Draw,2.18,8.0%,27.4%,58.4%,0.416
#156,13:30,Bundesliga,Germany,FC St. Pauli,FC Augsburg,Home Win or Draw,1.97,8.0%,22.1%,62.0%,0.414
#157,14:30,Super League,Switzerland,Grasshoppers,Lausanne,Away Team Under 1.5 Goals,1.74,8.0%,15.7%,66.6%,0.413
#158,23:00,Liga MX,Mexico,Club Queretaro,Monterrey,Over 9.5 Total Corners,1.76,8.0%,16.4%,66.0%,0.413
#159,13:00,Veikkausliiga,Finland,KuPS,Ilves,Over 2.5 Goals,1.82,8.0%,17.5%,64.7%,0.411
#160,15:00,Eliteserien,Norway,Sarpsborg 08 FF,Sandefjord,Over 1.5 Goals,1.89,8.0%,19.3%,63.2%,0.411
#161,11:00,Taça de Portugal,Portugal,Fayal,CD Olivais e Moscavide,Both Teams to Score - No,1.86,8.0%,18.5%,63.7%,0.410
#162,13:00,Ligue 1,France,Lille,Toulouse,Over 1.5 Goals,1.83,8.0%,17.4%,64.2%,0.409
#163,15:00,Liga I,Romania,Universitatea Craiova,Farul Constanta,Both Teams to Score - No,1.98,8.0%,21.3%,61.3%,0.409
#164,15:00,Eliteserien,Norway,KFUM Oslo,Viking,Over 1.5 Goals,1.86,8.0%,17.9%,63.5%,0.408
#165,11:30,2. Bundesliga,Germany,SpVgg Greuther Fürth,1. FC Kaiserslautern,Over 9.5 Total Corners,1.77,7.9%,15.3%,65.1%,0.406
#166,14:00,Süper Lig,Turkey,Kayserispor,Goztepe,Over 9.5 Total Corners,1.74,7.8%,14.3%,65.8%,0.406
#167,15:15,Ligue 1,France,Paris Saint Germain,Lens,Home Win or Draw,1.92,8.0%,19.0%,62.0%,0.405
#168,13:00,Veikkausliiga,Finland,KuPS,Ilves,Under 9.5 Total Corners,1.58,6.4%,9.2%,69.1%,0.404
#169,12:30,Eredivisie,Netherlands,Utrecht,Groningen,Home Win or Draw,2.08,8.0%,22.6%,58.9%,0.404
#170,11:30,2. Bundesliga,Germany,SpVgg Greuther Fürth,1. FC Kaiserslautern,Home Win or Draw,1.91,8.0%,18.3%,62.0%,0.403
#171,18:00,Liga I,Romania,Csikszereda,FCSB,Both Teams to Score - No,1.82,7.8%,16.0%,63.7%,0.403
#172,11:00,Championship,England,Southampton,Portsmouth,Over 9.5 Total Corners,2.03,8.0%,21.2%,59.8%,0.403
#173,11:30,2. Bundesliga,Germany,SV Elversberg,Dynamo Dresden,Draw or Away Win,1.99,7.8%,19.3%,60.0%,0.398
#174,13:00,Serie A,Italy,Pisa,Udinese,Under 11.5 Total Corners,1.65,6.8%,11.0%,67.3%,0.397
#175,12:45,Liga I,Romania,Oţelul,FC Botosani,Draw or Away Win,1.98,7.6%,18.7%,60.0%,0.396
#176,13:00,Ligue 1,France,Lille,Toulouse,Both Teams to Score - No,1.92,7.4%,17.0%,60.9%,0.395
#177,11:30,2. Bundesliga,Germany,Preußen Münster,Fortuna Düsseldorf,Draw or Away Win,1.86,7.1%,15.3%,62.0%,0.394
#178,15:15,Ligue 1,France,Strasbourg,Le Havre,Under 11.5 Total Corners,1.61,5.3%,8.0%,67.3%,0.393
#179,15:00,Eliteserien,Norway,KFUM Oslo,Viking,Away Team Under 1.5 Goals,1.63,5.5%,8.7%,66.6%,0.392
#180,14:45,Eredivisie,Netherlands,Telstar,Fortuna Sittard,Draw or Away Win,1.67,5.7%,9.5%,65.6%,0.391
#181,16:00,Süper Lig,Turkey,Gazişehir Gaziantep,Kocaelispor,Away Team Under 1.5 Goals,1.79,6.5%,12.8%,62.9%,0.390
#182,18:00,Liga de Expansión MX,Mexico,Leones Negros UDG,CA La Paz,Home Win or Draw,1.82,6.4%,13.1%,62.2%,0.388
#183,16:30,Segunda División,Spain,Sporting Gijon,Burgos,Home Team Under 1.5 Goals,1.60,4.4%,6.5%,66.8%,0.387
#184,13:00,Serie A,Italy,Pisa,Udinese,Home Team Under 1.5 Goals,1.80,6.6%,13.2%,63.0%,0.387
#185,16:30,La Liga,Spain,Osasuna,Rayo Vallecano,Home Team Under 1.5 Goals,1.58,4.0%,5.8%,67.1%,0.386
#186,10:30,Serie A,Italy,AS Roma,Torino,Away Team Under 1.5 Goals,1.54,3.9%,5.3%,68.5%,0.385
#187,11:00,Championship,England,Southampton,Portsmouth,Under 11.5 Total Corners,1.61,4.1%,6.3%,65.8%,0.382
#188,13:00,Serie A,Italy,Pisa,Udinese,Over 2.5 Goals,1.88,6.5%,14.4%,60.9%,0.382
#189,10:15,Ekstraklasa,Poland,Motor Lublin,Nieciecza,Away Team Under 1.5 Goals,1.74,5.2%,9.7%,62.9%,0.381
#190,14:30,3. Liga,Germany,Waldhof Mannheim,Energie Cottbus,Over 2.5 Goals,1.84,5.8%,12.3%,60.9%,0.380
#191,12:00,La Liga,Spain,Celta Vigo,Girona,Home Team Win,1.62,3.3%,5.1%,64.9%,0.375
#192,10:15,Eredivisie,Netherlands,Excelsior,Sparta Rotterdam,Home Win or Draw,1.91,5.6%,12.8%,59.0%,0.374
#193,12:00,Allsvenskan,Sweden,Osters IF,IFK Varnamo,Draw or Away Win,1.73,4.4%,8.1%,62.5%,0.374
#194,11:30,2. Bundesliga,Germany,Preußen Münster,Fortuna Düsseldorf,Over 2.5 Goals,1.86,5.3%,11.3%,59.9%,0.373
#195,18:45,Ligue 1,France,Rennes,Lyon,Over 2.5 Goals,1.73,4.3%,7.9%,62.2%,0.372
#196,12:30,Eredivisie,Netherlands,Utrecht,Groningen,Away Team Under 1.5 Goals,1.70,3.9%,6.8%,62.9%,0.372
#197,12:30,Eredivisie,Netherlands,Utrecht,Groningen,Over 9.5 Total Corners,1.86,5.1%,11.0%,59.8%,0.372
#198,19:00,La Liga,Spain,Barcelona,Valencia,Over 2.5 Goals,1.86,5.1%,11.1%,59.7%,0.372
#199,14:00,Süper Lig,Turkey,Kayserispor,Goztepe,Away Team Under 1.5 Goals,1.68,3.5%,6.0%,62.9%,0.370
#200,11:00,Taça de Portugal,Portugal,Fayal,CD Olivais e Moscavide,Away Team Under 1.5 Goals,1.79,4.3%,8.4%,60.6%,0.368
#201,12:00,Allsvenskan,Sweden,Osters IF,IFK Varnamo,Over 2.5 Goals,1.82,4.5%,9.2%,59.9%,0.367
#202,13:00,Ligue 1,France,Lille,Toulouse,Over 9.5 Total Corners,1.79,4.2%,8.2%,60.5%,0.366
#203,18:45,Serie A,Italy,AC Milan,Bologna,Over 2.5 Goals,1.76,4.3%,8.2%,61.6%,0.366
#204,15:15,Ligue 1,France,Metz,Angers,Both Teams to Score - No,1.85,4.4%,9.3%,59.1%,0.364
#205,19:00,Segunda División,Spain,Granada CF,Leganes,Home Team Under 1.5 Goals,1.70,3.1%,5.4%,62.0%,0.364
#206,16:00,Serie A,Italy,Sassuolo,Lazio,Over 2.5 Goals,1.77,4.0%,7.8%,60.9%,0.362
