date,kick_off,home_team,away_team,league,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level,country,bet_amount,potential_win,simulated_outcome,actual_pnl,running_total,running_bankroll,cumulative_wins,cumulative_picks,win_rate,outcome_description
2025-09-08,16:00,Guinea,Algeria,World Cup - Qualification Africa,Over 9.5 Corners,Over 9.5 Total Corners,2.1131611631465983,8.0,53.5,72.6,0.535,0.442,Medium Risk,,25.0,27.82902907866496,True,27.82902907866496,192.72864832341259,1192.7286483234125,8,11,72.7,WIN
2025-09-08,23:00,New England II,Huntsville City,MLS Next Pro,Over 1.5,Over 1.5 Goals,1.9919877270427824,8.0,45.8,73.2,0.458,0.39,Medium Risk,,25.0,24.79969317606956,False,-25.0,167.72864832341259,1167.7286483234125,8,12,66.7,LOSS
2025-09-08,16:00,Carl Zeiss Jena  W,1899 Hoffenheim W,Frauen Bundesliga,Over 1.5,Over 1.5 Goals,2.128309373508084,8.0,45.7,68.5,0.457,0.376,Medium Risk,,25.0,28.207734337702096,False,-25.0,142.72864832341259,1142.7286483234125,8,13,61.5,LOSS
2025-09-08,13:00,Zambia,Morocco,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,1.9653805858024889,8.0,39.3,70.9,0.393,0.338,Medium Risk,,25.0,24.13451464506222,True,24.13451464506222,166.8631629684748,1166.8631629684749,9,14,64.3,WIN
2025-09-08,19:00,Ghana,Mali,World Cup - Qualification Africa,Over 9.5 Corners,Over 9.5 Total Corners,1.726210277348142,8.0,35.8,78.7,0.358,0.336,Low Risk,,25.0,18.15525693370355,True,18.15525693370355,185.01841990217835,1185.0184199021783,10,15,66.7,WIN
2025-09-08,22:00,Tivoli Gardens,Spanish Town Police,Premier League,Over 9.5 Corners,Over 9.5 Total Corners,2.0880467250107926,8.0,39.2,66.7,0.392,0.325,Medium Risk,,25.0,27.201168125269813,True,27.201168125269813,212.21958802744817,1212.2195880274483,11,16,68.8,WIN
2025-09-09,00:30,Vila Nova,Athletic Club,Serie B,Over 2.5,Over 2.5 Goals,2.616721369708716,8.0,76.8,67.5,0.768,0.59,Medium Risk,,25.0,40.4180342427179,True,40.4180342427179,252.63762227016608,1252.637622270166,12,17,70.6,WIN
2025-09-09,00:30,El Salvador,Suriname,World Cup - Qualification CONCACAF,Over 1.5,Over 1.5 Goals,2.3729489436790385,8.0,66.9,70.3,0.669,0.529,Medium Risk,,25.0,34.32372359197596,True,34.32372359197596,286.961345862142,1286.961345862142,13,18,72.2,WIN
2025-09-09,16:00,Cape Verde Islands,Cameroon,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.3112455187020755,8.0,63.7,70.8,0.637,0.508,Medium Risk,,25.0,32.781137967551885,True,32.781137967551885,319.7424838296939,1319.7424838296938,14,19,73.7,WIN
2025-09-09,23:30,Chile,Uruguay,World Cup - Qualification South America,Over 1.5,Over 1.5 Goals,2.383046242582057,8.0,64.3,68.9,0.643,0.507,Medium Risk,,25.0,34.57615606455142,True,34.57615606455142,354.31863989424534,1354.3186398942453,15,20,75.0,WIN
2025-09-09,13:00,Sierra Leone,Ethiopia,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.304200879359145,8.0,60.0,69.5,0.6,0.479,Medium Risk,,25.0,32.605021983978624,True,32.605021983978624,386.923661878224,1386.923661878224,16,21,76.2,WIN
2025-09-09,16:00,Congo DR,Senegal,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.2556642742984825,8.0,58.7,70.3,0.587,0.472,Medium Risk,,25.0,31.39160685746206,True,31.39160685746206,418.31526873568606,1418.315268735686,17,22,77.3,WIN
2025-09-09,18:45,Albania,Latvia,World Cup - Qualification Europe,Over 9.5 Corners,Over 9.5 Total Corners,2.149278709117442,8.0,56.6,72.9,0.566,0.465,Medium Risk,,25.0,28.73196772793605,True,28.73196772793605,447.0472364636221,1447.047236463622,18,23,78.3,WIN
2025-09-09,16:00,Togo,Sudan,World Cup - Qualification Africa,Over 1.5,Over 1.5 Goals,2.314630491438746,8.0,53.1,66.2,0.531,0.42,Medium Risk,,25.0,32.86576228596865,True,32.86576228596865,479.9129987495907,1479.9129987495908,19,24,79.2,WIN
2025-09-10,14:00,Molodechno-DYuSSh 4,Neman,Premier League,Over 9.5 Corners,Over 9.5 Total Corners,1.8430644273310977,8.0,36.6,74.1,0.366,0.466,Medium Risk,,25.0,21.07661068327744,True,21.07661068327744,500.9896094328682,1500.9896094328683,20,25,80.0,WIN
2025-09-10,00:00,Curaçao,Bermuda,World Cup - Qualification CONCACAF,Over 9.5 Corners,Over 9.5 Total Corners,1.9472015550738464,8.0,41.4,72.6,0.414,0.43,Medium Risk,,25.0,23.68003887684616,False,-25.0,475.9896094328682,1475.9896094328683,20,26,76.9,LOSS
2025-09-10,02:00,Costa Rica,Haiti,World Cup - Qualification CONCACAF,BTTS No,Both Teams to Score - No,2.22,8.0,38.7,62.5,0.387,0.408,Medium Risk,,25.0,30.500000000000004,True,30.500000000000004,506.4896094328682,1506.4896094328683,21,27,77.8,WIN
2025-09-11,17:00,Brann W,Manchester United W,UEFA Champions League Women,Over 1.5,Over 1.5 Goals,2.2203619992492647,8.0,54.9,69.8,0.549,0.842,Medium Risk,World,25.0,30.509049981231616,True,30.509049981231616,536.9986594140998,1536.9986594140998,22,28,78.6,WIN
2025-09-11,17:30,St. Pölten W,Fortuna Hjørring,UEFA Champions League Women,Home Over 1.5,Home Team Over 1.5 Goals,3.046262933165229,8.0,91.6,62.9,0.916,0.779,High Risk,World,25.0,51.15657332913073,True,51.15657332913073,588.1552327432306,1588.1552327432305,23,29,79.3,WIN
2025-09-11,18:30,Roma W,Sporting CP W,UEFA Champions League Women,Over 9.5 Corners,Over 9.5 Total Corners,2.6587349579171464,8.0,67.4,62.9,0.674,0.716,Medium Risk,World,25.0,41.46837394792866,True,41.46837394792866,629.6236066911592,1629.6236066911592,24,30,80.0,WIN
2025-09-11,17:00,Paris FC W,Austria Wien W,UEFA Champions League Women,Over 9.5 Corners,Over 9.5 Total Corners,1.9878264974220512,8.0,46.1,73.5,0.461,0.63,Medium Risk,World,25.0,24.69566243555128,True,24.69566243555128,654.3192691267105,1654.3192691267104,25,31,80.6,WIN
2025-09-11,17:30,Vorskla Poltava W,OH Leuven W,UEFA Champions League Women,Over 1.5,Over 1.5 Goals,1.911618317088194,8.0,38.3,72.3,0.383,0.514,Medium Risk,World,25.0,22.790457927204848,True,22.790457927204848,677.1097270539154,1677.1097270539153,26,32,81.2,WIN
2025-09-11,17:00,Häcken,Atletico Madrid W,UEFA Champions League Women,Over 9.5 Corners,Over 9.5 Total Corners,1.977217902273806,8.0,27.9,64.7,0.279,0.283,Medium Risk,World,25.0,24.43044755684515,True,24.43044755684515,701.5401746107606,1701.5401746107605,27,33,81.8,WIN
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Over 9.5 Corners,Over 9.5 Total Corners,2.094391204794327,8.0,68.3,80.4,0.683,0.626,Medium Risk,Poland,25.0,27.35978011985818,False,-25.0,676.5401746107606,1676.5401746107605,27,34,79.4,LOSS
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Over 1.5,Over 1.5 Goals,2.160684047049986,8.0,53.6,71.1,0.536,0.545,Medium Risk,Poland,25.0,29.01710117624965,False,-25.0,651.5401746107606,1651.5401746107605,27,35,77.1,LOSS
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,BTTS No,Both Teams to Score - No,1.9,7.9,17.8,62.0,0.178,0.401,Medium Risk,Poland,25.0,22.499999999999996,False,-25.0,626.5401746107606,1626.5401746107605,27,36,75.0,LOSS
2025-09-13,15:30,Wisla Plock,Cracovia Krakow,Ekstraklasa,Home Under 1.5,Home Team Under 1.5 Goals,1.6038216388704212,6.0,9.0,68.0,0.09,0.399,Low Risk,Poland,25.0,15.09554097176053,True,15.09554097176053,641.6357155825211,1641.6357155825212,28,37,75.7,WIN
2025-09-14,13:00,Burnley,Liverpool,Premier League,Away -1,Away -1,6.8430029269498736,8.0,461.5,82.1,4.615,1.813,High Risk,England,25.0,146.07507317374683,True,146.07507317374683,787.7107887562679,1787.710788756268,29,38,76.3,WIN
2025-09-14,12:30,Heracles,AZ Alkmaar,Eredivisie,Away -1,Away -1,6.695088368744285,8.0,449.3,82.1,4.493,1.776,High Risk,Netherlands,25.0,142.37720921860713,True,142.37720921860713,930.0879979748751,1930.0879979748752,30,39,76.9,WIN
2025-09-14,15:15,Paris Saint Germain,Lens,Ligue 1,Home -1,Home -1,6.012646548122621,8.0,350.9,75.0,3.509,1.453,High Risk,France,25.0,125.31616370306553,True,125.31616370306553,1055.4041616779407,2055.4041616779405,31,40,77.5,WIN
2025-09-14,19:30,SC Braga,GIL Vicente,Primeira Liga,Home -1,Home -1,3.595330760904049,8.0,185.3,79.4,1.853,0.973,High Risk,Portugal,25.0,64.88326902260123,True,64.88326902260123,1120.287430700542,2120.2874307005422,32,41,78.0,WIN
2025-09-14,12:00,Celta Vigo,Girona,La Liga,BTTS No,Both Teams to Score - No,2.65,8.0,130.7,87.1,1.307,0.84,Medium Risk,Spain,25.0,41.25,True,41.25,1161.537430700542,2161.5374307005422,33,42,78.6,WIN
2025-09-14,16:30,Sporting Gijon,Burgos,Segunda División,Over 11.5 Corners,Over 11.5 Total Corners,4.03182933748884,8.0,153.9,63.0,1.539,0.814,High Risk,Spain,25.0,75.79573343722099,True,75.79573343722099,1237.333164137763,2237.333164137763,34,43,79.1,WIN
2025-09-14,13:00,Burnley,Liverpool,Premier League,Over 11.5 Corners,Over 11.5 Total Corners,3.605795840586805,8.0,145.3,68.0,1.453,0.808,High Risk,England,25.0,65.14489601467012,False,-25.0,1212.333164137763,2212.333164137763,34,44,77.3,LOSS
2025-09-14,10:15,Motor Lublin,Nieciecza,Ekstraklasa,BTTS No,Both Teams to Score - No,2.46,8.0,98.6,80.7,0.986,0.719,Medium Risk,Poland,25.0,36.5,True,36.5,1248.833164137763,2248.833164137763,35,45,77.8,WIN
2025-09-15,18:30,Zaragoza,Albacete,Segunda División,Away,Away Team Win,3.1,8.0,107.8,67.0,1.078,0.692,High Risk,Spain,25.0,52.5,True,52.5,1301.333164137763,2301.333164137763,36,46,78.3,WIN
2025-09-15,19:00,Espanyol,Mallorca,La Liga,Over 1.5,Over 1.5 Goals,2.3516349509499657,8.0,69.4,72.0,0.694,0.596,Medium Risk,Spain,25.0,33.79087377374914,True,33.79087377374914,1335.1240379115122,2335.1240379115125,37,47,78.7,WIN
2025-09-15,18:45,Guingamp,Montpellier,Ligue 2,Over 1.5,Over 1.5 Goals,2.3474858404197687,8.0,69.1,72.0,0.691,0.596,Medium Risk,France,25.0,33.68714601049422,True,33.68714601049422,1368.8111839220064,2368.8111839220064,38,48,79.2,WIN
2025-09-15,16:30,Verona,Cremonese,Serie A,BTTS No,Both Teams to Score - No,2.84,8.0,73.2,61.0,0.732,0.559,Medium Risk,Italy,25.0,46.0,True,46.0,1414.8111839220064,2414.8111839220064,39,49,79.6,WIN
2025-09-15,18:45,Guingamp,Montpellier,Ligue 2,Over 9.5 Corners,Over 9.5 Total Corners,2.514173835465052,8.0,63.9,65.2,0.639,0.552,Medium Risk,France,25.0,37.8543458866263,True,37.8543458866263,1452.6655298086328,2452.6655298086325,40,50,80.0,WIN
2025-09-15,16:30,Verona,Cremonese,Serie A,Over 1.5,Over 1.5 Goals,2.1255732657479443,8.0,53.5,72.2,0.535,0.544,Medium Risk,Italy,25.0,28.139331643698608,False,-25.0,1427.6655298086328,2427.6655298086325,40,51,78.4,LOSS
2025-09-15,19:00,Espanyol,Mallorca,La Liga,Over 9.5 Corners,Over 9.5 Total Corners,1.981412165942416,8.0,44.2,72.8,0.442,0.524,Medium Risk,Spain,25.0,24.5353041485604,False,-25.0,1402.6655298086328,2402.6655298086325,40,52,76.9,LOSS
2025-09-15,18:00,Petrolul Ploiesti,Dinamo Bucuresti,Liga I,Over 9.5 Corners,Over 9.5 Total Corners,2.1188623298526026,8.0,46.1,69.0,0.461,0.514,Medium Risk,Romania,25.0,27.971558246315066,False,-25.0,1377.6655298086328,2377.6655298086325,40,53,75.5,LOSS
2025-09-16,18:45,Weston-super-Mare,Taunton Town,FA Cup,Over 11.5 Corners,Over 11.5 Total Corners,4.276698146013046,8.0,150.0,58.4,1.5,0.784,High Risk,England,25.0,81.91745365032614,False,-25.0,1352.6655298086328,2352.6655298086325,40,54,74.1,LOSS
2025-09-16,18:00,FC OSS,VVV Venlo,Eerste Divisie,Over 11.5 Corners,Over 11.5 Total Corners,4.050118816477093,8.0,136.7,58.4,1.367,0.744,High Risk,Netherlands,25.0,76.25297041192734,False,-25.0,1327.6655298086328,2327.6655298086325,40,55,72.7,LOSS
2025-09-16,17:00,FC Saarbrücken,SSV Ulm 1846,3. Liga,Over 11.5 Corners,Over 11.5 Total Corners,3.621822568999904,8.0,111.7,58.4,1.117,0.669,High Risk,Germany,25.0,65.5455642249976,False,-25.0,1302.6655298086328,2302.6655298086325,40,56,71.4,LOSS
2025-09-16,17:00,FC Saarbrücken,SSV Ulm 1846,3. Liga,Home Over 1.5,Home Team Over 1.5 Goals,3.453680886911515,8.0,106.9,59.9,1.069,0.66,High Risk,Germany,25.0,61.34202217278788,True,61.34202217278788,1364.0075519814206,2364.007551981421,41,57,71.9,WIN
2025-09-16,18:00,FC OSS,VVV Venlo,Eerste Divisie,Over 9.5 Corners,Over 9.5 Total Corners,1.9787558471841815,8.0,63.4,82.6,0.634,0.621,Medium Risk,Netherlands,25.0,24.46889617960454,True,24.46889617960454,1388.4764481610252,2388.4764481610255,42,58,72.4,WIN
2025-09-16,18:45,Tonbridge Angels,Steyning Town,FA Cup,Away,Away Team Win,3.0,8.0,83.6,61.2,0.836,0.596,Medium Risk,England,25.0,50.0,True,50.0,1438.4764481610252,2438.4764481610255,43,59,72.9,WIN
2025-09-16,18:45,Witham Town,Mulbarton Wanderers,FA Cup,Over 1.5,Over 1.5 Goals,2.223837089292953,8.0,64.2,73.8,0.642,0.588,Medium Risk,England,25.0,30.595927232323827,True,30.595927232323827,1469.0723753933491,2469.072375393349,44,60,73.3,WIN
2025-09-16,18:45,Horsham,Westfield (Surrey),FA Cup,Over 1.5,Over 1.5 Goals,2.217749285862147,8.0,63.0,73.5,0.63,0.583,Medium Risk,England,25.0,30.44373214655367,True,30.44373214655367,1499.5161075399028,2499.516107539903,45,61,73.8,WIN
